湖南人文科技学院	0x20
江苏工程职业技术学院	0xcaf
大连职工大学	0xfe3
喀什师范学院	0xfa6
湖北广播电视大学	0xc8b
太原旅游职业学院	0x76
江苏省连云港师范学校	0x1104
南昌水利水电高等专科	0x954
北京轻工职业技术学院	0x2f1
阜新高等专科学校	0x9d2
湖南幼儿师范高等专科学校	0xac3
常州轻工职业技术学院	0x15b
新疆工学院	0xf9
内蒙古交通职业技术学院	0x2e5
福建交通学校	0xca
郑州财税金融职业学院	0x68a
武威职业学院	0x28d
广东青年职业学院	0x396
内蒙古师范大学	0xa4
南充工业学校	0x71f
西南大学	0x28c
南京中医药大学翰林学院	0x16a
四平职业大学	0x686
中国刑事警察学院	0x750
湖南科技学院	0x24
新疆天山职业技术学院	0x963
浙江海洋大学	0x296
江苏医药职业学院	0xe8a
贵州大学明德学院	0xfc6
成都医学院	0xcd6
扬州工学院	0xbf6
河北中医学院	0x880
湖南科技职业学院	0x6ea
东莞南博职业技术学院	0xbf
赣南卫生健康职业学院	0x60e
浙江财经大学东方学院	0xe18
厦门市广播电视大学	0xb8
巴音郭楞职业技术学院	0x85
西安市工业学校	0xb32
外交学院	0x3df
平凉职业技术学院	0x121
江西外语外贸职业学院	0x1eb
中国人民解放军空军西安飞行学院	0x22d
兰州财经大学	0x306
重庆护理职业学院	0x1089
河南财政金融学院	0xa08
苏州科技大学	0xaf0
南阳师范学院	0x406
重庆幼儿师范高等专科学校	0xd18
哲里木畜牧学院	0x3f
荆门职业技术学院	0x12d
深圳大学	0x923
凯里学院	0x5cf
江西电力职工大学	0xb79
内蒙古师范大学鸿德学院	0x251
江海职业技术学院	0xdaf
贵阳师范高等专科学校	0x4a0
湖北经济学院	0xdc7
中国人民解放军陆军边海防学院	0x8ea
重庆文理学院	0xfb2
德化县成人中等专业学校	0x670
芜湖农业学校	0x8f6
黑龙江工业学院	0xabd
绥化市教育学院	0x2d5
大连装备制造职业技术学院	0x4b7
贵阳幼儿师范高等专科学校	0x388
武陵高等专科学校	0x1164
重庆职工会计专科学校	0xd55
湘中幼儿师范高等专科学校	0xa3e
广东新安职业技术学院	0xddb
广东机电职业技术学院	0x1029
中国传媒大学	0xd2f
江西航空职业技术学院	0x977
上海科学技术职业学院	0xc06
福建江夏学院	0x1146
云南省工程技术学校	0xbad
南通师范高等专科学校	0xf52
湖南应用技术学院	0xc6
中国人民解放军战略支援部队信息工程大学	0xa5d
江西现代职业技术学院	0x3a6
江西经济管理职业学院	0x148
武汉工程大学	0xc0f
集美航海学院	0xbf9
湖北工程职业学院	0xdf2
上海建桥学院	0x7e1
泸州教育学院	0x902
扬州建筑工程学校	0xa5
广东文理职业学院	0x27a
西安海棠职业学	0xb10
河北公安警察职业学院	0xde7
福州商业学校	0x70
陕西电子科技职业学院	0x1c
湖北青年职业学院	0x97f
云南农业大学	0xce1
杭州市工人业余大学	0x1012
冀中职业学院	0x881
湖南铁路科技职业技术学院	0xf7
北京化工大学	0x1097
漳州职业技术学院	0x30a
杭州师范大学音乐学院	0x472
泉州师范学校	0x2ce
芜湖信息技术职业学院	0x2da
三峡电力职业学院	0x8f3
阳泉职业技术学院	0x8e4
河南教育学院	0xf30
青岛求实职业技术学院	0x4b5
潍坊卫生学校	0xfee
西北政法大学	0x6e0
盐城工业职业技术学院	0x743
兰州科技职业学院	0x367
浙江财经大学	0x25c
河北经贸大学经济管理学院	0x9a3
陕西工商学院	0x760
兰州商学院	0x61f
辽宁工程技术大学	0x1be
河北软件职业技术学院	0x6de
唐山高等专科学校	0x91
珠海广播电视大学	0x3a5
重庆警察学院	0x10f9
齐齐哈尔医学院	0x1034
陕西国际商贸学院	0x675
安阳师范高等专科学校	0x136
江苏农学院	0xbee
天津海运职业学院	0xe4f
濮阳广播电视大学	0x783
柳州城市职业学院	0xee6
湖南化工职业技术学院	0x10f3
信阳农林学院	0x325
安徽工贸职业技术学院	0xe90
云南民族大学	0xf85
安阳教育学院	0xb63
江苏海门师范学校	0xa16
厦门大学	0x17b
楚雄民族师范学校	0x270
舟山师范专科学校	0xba6
黑龙江农垦职业学院	0x1d6
呼伦贝尔职业技术学院	0xc86
上海机电工业职工大学	0x780
广东文艺职业学院	0x23f
浙江轻纺职业技术学院	0x99e
鹤壁能源化工职业学院	0x6e7
四川工商学院	0x5f5
铁岭卫生职业学院	0xe50
辽宁科技学院	0xab4
延安职业技术学院	0x1aa
西安工程技师学院	0x7c1
武威市职业中等专业学校	0x145
武昌工学院	0x2b9
安徽林业职业技术学院	0xdd6
大兴安岭职业学院	0xa12
信阳教育学院	0xbc5
涪陵教育学院	0x115f
保定科技职业学院	0xfc9
濮阳工业学校	0x31e
婺源茶叶学校	0x4ac
中国计量大学	0xa28
南京理工大学紫金学院	0x62b
广东科技学院	0x116e
赣西科技职业学院	0xd4f
北京外国语大学	0x5c1
浙江勘察工程学校	0x534
昆明理工大学	0x92a
长沙航空职业技术学院	0xe8
惠州工程职业学院	0x273
江苏信息职业技术学院	0xe16
山东外国语职业学院	0xda
湖北省卫生职工医学院	0x2d4
苏州信息职业技术学院	0xbf4
汕头市业余大学	0xf8b
陕西工运学院	0x2a3
山东财政学院	0x8d6
台州农业学校	0x164
河南信息统计职业学院	0xa70
中国人民解放军陆军防化学院	0x59c
山东工业职业学院	0x200
广东交通职业技术学院	0xee4
承德护理职业学院	0x111
上海科学技术大学	0xd0b
北京第三师范学校	0x125
上海交通大学	0xb67
新余学院	0xf01
广东食品药品职业学院	0xc3
酒泉职业技术学院	0x7c3
北京医科大学	0x1134
通化钢铁公司职工大学	0x1f8
晋城师范学校	0xa53
鲁东大学	0x32a
广东东软学院	0x5d
江西传媒职业学院	0xf34
广东培正学院	0xc40
临沧师范高等专科学校	0x9da
内蒙古北方职业技术学院	0x553
河北省艺术职业学院	0x1a2
南京交通职业技术学院	0x8d9
浙江经济职业技术学院	0xd16
遵义医学院医学与科技学院	0x113a
山东矿业学院	0x6fc
荆楚理工学院	0x10a0
邵阳职业技术学院	0x95
中南财经政法大学	0xa3a
山西轻工职业技术学院	0x34a
徐州幼儿师范高等专科学校	0xbb5
南昌大学共青学院	0xfe5
保定学院	0xd45
景德镇陶瓷大学	0x719
福建船政学校	0x3c4
开封医专	0x10ed
天津电子信息职业技术学院	0xbde
青海省城市建设学校	0x52b
武汉外语外事职业学院	0x668
汕尾职业技术学院	0xa09
华北电力大学	0x1107
辽宁石油化工大学	0xc5d
湖州师范学院	0x35d
郑州信息工程职业学院	0xba3
宁夏大学新华学院	0xfc7
国际关系学院	0x7a0
济南纺织工业学校	0x38c
湖南科技大学	0x54
上海行健职业学院	0x1090
珠海市财贸学校	0x142
郑州工业大学	0x29a
宣化科技职业学院	0x108d
伊犁职业技术学院	0xf97
湖北文理学院理工学院	0x56c
湘南医学高等专科学校	0x28b
无锡太湖学院	0xbbc
南京动力高等专科学校	0x978
贵州理工职业技术学院	0xf7b
蚌埠职工大学	0x9c9
北京科技大学天津学院	0x739
六盘水师范高等专科学校	0xe03
广东机械学院	0xc10
河北地质大学华信学院	0x51a
福建省福安师范学校	0xb3f
三明学院	0xa47
广州市广播电视大学	0xc70
北京信息工程学院	0x88b
福建省人民警察学校	0xb4e
郴州教育学院	0xfb0
成都科技大学	0x3a2
四川三河职业学院	0x57e
西藏自治区财经学校	0x67e
湘潭师范学院	0x101a
山西工商职业学院	0x2a4
广州华南商贸职业学院	0x14a
晋城职业技术学院	0x384
江西城市职业学院	0xa38
民政部济南民政学校	0xc81
黑龙江农业经济职业学院	0x639
成都飞机工业公司职工工学院	0x67d
长治市教育学院	0xb3e
福州工业学校	0xadc
湛江水产学院	0xbfe
浙江吉利技工学校	0xcef
天津市职工经济技术大学	0xaae
南京城市职业学院	0x10d2
宜州民族师范学校	0xb3b
西华大学	0x379
江西省粮食职工中专学校	0x10ff
贵阳职业技术学院	0xb44
黄山林业学校	0x7d0
同济医科大学	0x423
内蒙古能源职业学院	0x106a
武汉商业服务学院	0x113
安徽科技学院	0x3b3
长沙大学（专科）	0x110f
天津工业大学	0x8db
宣城职业技术学院	0x7d7
吉林师范大学	0x39f
山西林业职业技术学院	0x12b
浙江旅游职业学院	0xf1b
广东省机械学校	0x285
重庆三峡学院	0x383
齐齐哈尔市幼儿师范学院	0xd35
西安音乐学院	0x792
漯河职业技术学院	0x4b6
湖北农学院	0xc0e
六安职业技术学院	0x2cd
天津艺术职业学院	0xcf6
郑州电力高等专科学校	0xcc3
桂林市师范学校	0x1e6
宁波高等专科学校	0x7c9
山西职业技术学院	0x735
马鞍山钢铁公司卫生学校	0x4ef
枣庄职业学院	0xd7c
广州大学	0xc6a
重庆市人民警察学校	0x805
鄂尔多斯生态环境职业学院	0x6cf
重庆交通大学	0xd50
宁夏理工学院	0x337
南京机电职业技术学院	0x10da
兰州师范学校	0x5a3
蓝天职业技术学院	0x748
北京体育大学	0x886
云南经贸外事职业学院	0xabb
沈阳科技学院	0x115
四川文轩职业学院	0x10ef
吉林职业技术学院	0x1035
东北石油大学	0x25a
东营科技职业学院	0xaea
池州学院	0x618
江苏经贸职业技术学院	0x102e
武汉建筑高等专科学校	0xcbe
山西省政法管理干部学院	0xdca
辽宁商务职业学院	0xf4d
大庆师范学院	0x797
鹭江职业大学	0x51d
江西省国防科技工业学校	0x73b
长沙职业技术学院	0xb71
西安铁路工程职工大学	0xf1d
湖南工程学院应用技术学院	0xe67
泉州供销学校	0x6bd
黄山学院	0xed3
盐城工学院	0x112
浙江省对外经济贸易学校	0x105d
石家庄科技信息职业学院	0xe61
北京师范大学珠海分校	0x7f8
山西运城农业职业技术学院	0xb09
聊城旅游学校	0x110a
江西枫林涉外经贸职业学院	0x7e8
漯河医学高等专科学校	0x4b3
安徽涉外经济职业学院	0x1a7
广东行政职业学院	0xbdc
西北工业大学	0xf91
天津开发区职业技术学院	0x663
甘肃工业职业技术学院	0x114e
滨州教育学院	0x927
太原理工大学阳泉学院	0x57b
六安师范学校	0x374
泉州幼儿师范高等专科学校	0x33b
西安工业大学北方信息工程学院	0x6ca
云南体育进修学院	0x77d
西安幼儿师范学校	0x98c
河北对外经贸职业学院	0x10cf
宁夏护士学校	0x1161
西安科技商贸专修学院	0x793
宁波大红鹰职业技术学院	0x5d2
浙江建设职业技术学院	0x493
铜仁幼儿师范高等专科学校	0xc2a
连云港职业大学	0x340
广东白云学院	0x2fb
渤海石油职业学院	0xe09
中国美术学院	0x154
吉林特产高等专科学校	0x1132
吉林工程职业学院	0x906
河南经贸职业学院	0x10bb
辽宁医药职业学院	0x8b2
北京体育职业学院	0x52d
湖北黄石机电职业技术学院	0x4be
石家庄职工大学	0xa7b
广西培贤国际职业学院	0xa7
民办合肥财经职业学院	0xb9a
广东司法警官职业学院	0x8f9
桐城师范高等专科学校	0xd8f
郑州幼儿师范高等专科学校	0xbd7
浙江电影学校	0x31d
渝州教育学院	0xcfa
山西同文职业技术学院	0x27d
西安职业技术学院	0xe28
华北电力学院	0x307
山西体育职业学院	0x3fe
吉林大学	0x1180
河南艺术职业学院	0x104f
山东协和职业技术学院	0x3da
山西工商学院	0xf4
东华大学	0xd6d
宁夏机械技工学校	0x43d
香港中文大学（深圳）	0x168
华西医科大学	0x543
兰州师范高等专科学校	0x945
广东南方职业学院	0x8a1
江西师范高等专科学校	0x101c
郑州师范高等专科学校	0x9b3
甘肃工业职工大学	0x377
西安翻译职业学院	0x1a0
吉林省国际商务学校	0xfd4
新疆师范大学	0xddf
福建省龙溪师范学校	0x37f
青岛医学院	0x86b
安徽黄梅戏艺术职业学院	0x416
上海纽约大学	0x6ef
辽宁冶金职工大学	0x31b
咸宁教育学院	0x694
荆州理工职业学院	0x1004
潍坊师范学校	0x6f3
宜春财经中等专业学校	0xd3
辽河石油学校	0x74e
湖北商业高等专科学校	0x380
上海海洋大学	0x715
陕西服装艺术职业学院	0xdb9
浙江医学高等专科学校	0xc7a
常州信息职业技术学院	0xc62
九州职业技术学院	0x624
温州师范学院	0xa4c
青岛理工大学	0x2c9
西安美术学院	0x810
甘肃民族师范学院	0x57a
内蒙古自治区广播电视大学	0x5e7
北京交通运输职业学院	0xff3
长安大学	0xeb7
湖北兵器工业职工大学	0x111b
上海理工大学	0xc54
苏州经贸职业技术学院	0xc80
贵州装备制造职业学院	0x94d
毕节幼儿师范高等专科学校	0x1141
无锡市职工大学	0xbe9
大同职业技术学院	0xc93
洛阳兵器工业职工大学	0x52a
中央美术学院	0x9a
北京农业大学	0xcb5
福州大学至诚学院	0x27e
宁夏体育职业学院	0x1e
杭州出版学校	0x10a9
宁波工程学院	0x7bc
西南农业大学	0xba5
广东教育学院	0xfb
福州黎明职业技术学院	0x932
四川省水利机电学校	0x9fb
安徽交通职业技术学院	0xe59
绍兴文理学院	0x327
鹰潭师范	0xd04
大连东软信息技术职业学院	0x507
哈尔滨师范学校	0xd8c
许昌市广播电视大学	0x8f2
山东经济学院	0xa9b
遵义师范学院	0xa1e
绍兴高等专科学校	0x883
绵阳师范高等专科学校	0x5ba
上海科技管理干部学院	0xead
四川烹饪高等专科学校	0x43
南宁市建设技工学校	0xab6
酒泉地区工业学校	0x3d6
白银矿冶职业技术学院	0xf16
长沙民政职业技术学院	0x1048
湖州教师进修学院	0x55e
江苏建筑材料工业学校	0x820
宝鸡铁路司机学校	0xe12
北京师范大学-香港浸会大学联合国际学院	0x730
辽源职业技术学院	0x59
上海第二工业大学	0x6da
黑河师范专科学校	0x4df
武夷学院	0x70d
广州业余大学	0xf84
云南财经职业学院	0x116f
沈阳音乐学院	0x947
宜春医学专科学校	0x71d
安阳广播电视大学	0xa94
焦作大学	0x407
广东交通学校	0x449
岳阳教育学院	0x11f
黑龙江省商业职工大学	0x8f4
河南纺织高等专科学校	0x6a8
东莞理工学院	0x661
池州农业学校	0x600
漳州教育学院	0x822
南京铁道医学院	0xd4b
四川管理职业学院	0x4b0
浙江省台州工业学校	0x356
三明高等专科学校	0x219
广西建筑工程学校	0xaa
山东科技大学	0x1015
重庆电子工程职业学院	0x8ee
宁夏职业技术学院	0xe5c
东北农学院	0x34b
安徽省医药学校	0x180
湖北教育学院	0xf61
河北大学	0x5c3
江苏海事职业技术学院	0x845
江西建设职业技术学院	0xc27
山东省经济管理干部学院	0xa52
广西东方外语职业学院	0x3c2
赣南师范大学科技学院	0x713
玉溪师范高等专科学校	0x1069
广西民族师范学院	0xc03
扬州师范学院	0x1d4
广州金桥管理干部学院	0xd0a
安徽粮食工程职业学院	0xec4
邵阳学院	0x6b0
辽阳职业技术学院	0xe8d
安徽国防科技职业学院	0x133
苏州大学文正学院	0x3e8
浙江省电力职工大学	0x1112
合肥职业技术学院	0x7f2
郑州经贸职业学院	0x6b6
东华理工大学	0x588
杭州教育学院	0xe36
湖北交通学校	0x1070
山东商业职业技术学院	0x616
西安建筑科技大学	0x95f
河南医科大学	0x100f
乐山师范高等专科学校	0x59f
北京动力经济学院	0xb85
齐齐哈尔理工职业学院	0x299
常州大学	0xf27
重庆职业技术学院	0x7e6
南京审计学院	0x2b0
抚顺矿务局职工工学院	0x4f6
广州金融高等专科学校肇庆校区	0x1c0
福建职业技术学院	0x8b3
武汉科技职业学院	0x8a0
北京市幼儿师范学校	0x9aa
洛阳医学高等专科学校	0x9d9
河北经贸大学	0x6e5
国营涪江机器厂职工大学	0xe15
无锡市轻工职大	0xb60
湖北师范大学文理学院	0xcc1
沈阳大学	0x697
川北医学院	0x8fd
华南理工大学	0xcf7
黑龙江能源职业学院	0x869
沈阳工程学院	0xbf3
四川理工学院	0x286
贵阳中医学院	0x19b
江汉艺术职业学院	0x2ba
西南科技大学城市学院	0x10a3
辽宁金融职业学院	0xa4f
广州教育学院	0x548
武汉工业大学	0x108e
玉溪农业职业技术学院	0xe0c
张北师范	0xc50
河南林业职业学院	0x4d3
平顶山教育学院	0x94e
嘉兴职业技术学院	0xc3b
洛阳有色金属职工大学	0x1058
鞍山师范学院	0xc78
包头医学院	0x2d7
北京工商大学	0x112d
山东财经大学燕山学院	0x71
阿坝师范高等专科学校	0xe79
吕梁高等专科学校	0x1185
衡阳市卫生学校	0x609
内江教育学院	0x87c
邢台学院	0x7b7
华北煤炭医学院	0x707
皖西学院	0x9b6
黑龙江省广播电视大学	0x1106
陕西科技大学镐京学院	0x39
乌海职业技术学院	0x736
辽宁理工学院	0x80
山东英才学院	0xa34
山西省广播电视大学	0xeac
济源职业技术学院	0x29d
哈尔滨师范大学恒星学院	0x58b
江西新能源科技职业学院	0x704
成都航空职业技术学院	0x516
北京科技经营管理学院	0x319
浙江农林大学	0x102c
滨州农业学校	0x655
中国农业大学	0x117f
云南轻纺职业学院	0x7a6
桂林电子科技大学信息科技学院	0x63d
重庆石油高等专科学校	0xcdc
内蒙古科技大学	0x8
蒙古工业大学矿业学院	0x50b
中国工程物理研究院职工工学院	0xa99
湘潭教育学院	0x206
宁夏医学院	0x242
广西体育高等专科学校	0x4c5
甘肃农业职业技术学院	0x815
湖州广播电视大学	0x8f0
井冈山大学	0x24b
武汉晴川学院	0x7b0
山东城市建设职业学院	0x530
楚雄师范学院	0xff
西安铁路人民警察学校	0x36b
四平师范专科学校	0x2b
襄阳机电工程学校	0xb7a
贵州工业大学	0xa8a
中原工学院	0x84d
梧州职业学院	0x457
四川工商职业技术学院	0x5
喀什教育学院	0x343
山东对外经济贸易学校	0x2ca
山东警察学院	0x113f
湖南省轻工业学校	0x9eb
湖南体育职业学院	0xc08
娄底师范专科学校	0x8be
交通部所属大连海运学校	0x3d7
长沙卫生职业学院	0x631
洛阳职业技术学院	0x84a
北京市西城经济科学大学	0x1038
开滦矿务局职工大学	0x47
江苏农林职业技术学院	0x857
江西核工业技术学校	0xf1e
陕西兵器工业职工大学	0x7a7
新汶矿务局职工大学	0xd65
中南海业余大学	0x676
井冈山师范学院	0x4d5
江西工业大学	0xc13
丹东职业技术学院	0xd57
新乡学院	0x305
锦州师范高等专科学校	0x77c
齐鲁医药学院	0x165
闽北职业技术学院	0x737
新疆能源职业技术学院	0x10b6
广西农业职业技术学院	0x2b2
淄博科技职业学院	0x6fa
上海戏剧学院	0xa81
酒泉农林科技学校	0x1142
长沙南方职业学院	0xec
建东职业技术学院	0x41f
泉州市德化技术学校	0x8f
北京医药集团职工大学	0x30
上海震旦职业学院	0x64c
广东药科大学	0x7e9
上海海关学院	0xbab
信阳师范学院华锐学院	0xe77
复旦大学	0x230
长春职业技术学院	0xcb8
武汉海事职业学院	0x918
北京市农工商联合总公司职工大学	0xfe6
四川省职工运动技术学院	0x75c
湖南文理学院芙蓉学院	0xee3
普通高等师范专科学校	0xe5b
赤峰学院	0x723
江西省纺织工业职工大学	0x701
鞍山钢铁集团公司职工大学	0xdf4
苏州工业职业技术学院	0x1137
贵州护理职业技术学院	0xe85
江南大学	0x1000
天津师范大学	0x10fc
闽江师范高等专科学校	0xfbb
齐齐哈尔市职工大学	0x5e1
中国人民解放军陆军勤务学院	0x9a9
延边职业技术学院	0x399
兰州财经大学长青学院	0xe86
唐山幼儿师范高等专科学校	0xa96
杭州师范大学钱江学院	0x353
昭通师范专科学校	0x1ae
抚顺石油化工公司职工大学	0x48f
中国人民解放军海军士官学校	0xe73
渤海大学	0x224
武汉工交职业学院	0xd5c
南平业余大学	0xc1e
浙江广厦建设职业技术学院	0x7b3
广东以色列理工学院	0xeb1
驻马店师范高等专科学校	0x6fe
东营广播电视大学	0x2ea
中国人民解放军空军军医大学	0xb6c
南充职业技术学院	0xdee
天津商业大学	0x9ab
新疆生产建设兵团教育学院	0x5cb
石油大学（北京）	0x9bf
杭州应用工程学校	0xfc
济南职业学院	0x5bf
江苏航空职业技术学院	0x3f8
浙江越秀外国语学院	0x528
福建省商业学校	0xc66
浙江理工大学科技与艺术学院	0x5b9
江西科技师范大学	0x2fa
滨州工业学校	0x35a
常德高等专科学校	0x4dd
广西中医药大学赛恩斯新医药学院	0x1183
重庆师范大学涉外商贸学院	0x1176
百色学院	0xd8a
山东轻工美术学校	0x7f5
湖南有色金属职业技术学院	0xc16
甘肃警察职业学院	0xb57
贵州大学	0xbd0
广东工程职业技术学院	0xda5
山东省体育运动技术学院	0x22a
沙洋师范高等专科学校	0xc28
江苏城乡建设职业学院	0x46d
四平农村成人高等专科学校	0x318
陕西国际商贸职业学院	0xa01
安徽外国语职业技术学院	0x3d9
恩施州机电工程学校	0x153
广东工商职业学院	0xb94
辽宁商业高等专科学校	0x4fd
山西医科大学晋祠学院	0x621
福建生物工程职业技术学院	0x971
西安市财政会计学校	0x571
电子科技大学中山学院	0xdc
西安汽车科技职业学院	0xcfb
常州无线电工业学校	0x229
宜宾学院	0x924
贵州财经大学商务学院	0xc23
宁夏经贸职业技术学院	0x2f5
北京城市学院	0x97
浙江警察学院	0xd84
宜春市职工大学	0x40d
中国人民解放军海军勤务学院	0x1155
济南市财经学校	0x936
江西服装学院	0x284
南京审计大学	0x112e
四川大学	0x4f4
新疆兵团警官高等专科学校	0x7c4
四川工业科技学院	0x39c
浙江科技学院	0x7bb
昌吉回族自治州职工大学	0x212
黄冈师范学院	0x71a
洛阳市高级技工学校	0xc15
西藏警官高等专科学校	0x3fd
张家口教育学院	0x5c9
浙江体育职业技术学院	0xd37
湖南三一工业职业技术学院	0xb54
扬州工业职业学校	0x827
云南能源职业技术学院	0xb76
长沙工业职工大学	0x4fc
河南测绘职业学院	0x75e
桂林航天工业学院	0x117e
昆明医科大学	0x4a1
泰安机械电子工程学校	0x82b
石家庄职业技术学院	0x10c7
文山师范高等专科学校	0x4eb
北京网络职业学院	0x366
吉林大学珠海学院	0x5a2
山东农业工程学院	0xd56
湖南中医药高等专科学校	0x60a
临夏现代职业学院	0x18d
宜春师范专科学校	0x7dd
江西制造职业技术学院	0x9ae
重庆文化艺术职业学院	0x1cd
陕西警官职业学院	0x475
湘潭大学	0x474
公安海警高等专科学校	0xab2
山东水利职业学院	0x9bd
呼伦贝尔学院	0xc9b
黔南民族医学高等专科学校	0x7c0
宁夏民族职业技术学院	0xdde
海南体育职业技术学院	0x53a
淮海工学院	0x533
西安文理学院	0x42e
兰州财经大学陇桥学院	0xf2b
海南大学三亚学院	0x21f
西京学院	0x2a1
定海职业学校	0x835
三门峡广播电视大学	0x5c2
新乡医学院	0x10d0
长春工程学院	0x654
浙江省建筑工业学校	0x10aa
长治学院	0xe40
咸宁体育学校	0x8f7
锦州医科大学医疗学院	0x8d7
长江大学文理学院	0x75
达县师范高等专科学校	0x78c
河北轨道运输职业技术学院	0x628
大理医学院	0xdc8
西安师范专科学校	0x679
厦门工学院	0x60d
中国地质大学长城学院	0x709
河南财经政法大学	0x1179
蚌埠教育学院	0x49d
安徽工商职业学院	0xd20
陕西能源职业技术学院	0x514
湖南农业大学	0x99
广西水利电力职业技术学院	0x88d
大连大学	0xc00
六安师范专科学校	0x106e
广东白云职业技术学院	0x4c0
北方民族大学	0x1b6
重庆市药剂学校	0xbfb
浙江海洋大学东海科学技术学院	0x4b2
郑州商贸旅游职业学院	0xe25
开封市广播电视大学	0xccd
南昌影视传播职业学院	0x28a
贵州医科大学	0x40f
江西金融职工大学	0x3c5
西安交通大学城市学院	0xc6d
山西师范大学	0x985
云南旅游职业学院	0x965
广东石油化工学院	0xb01
马鞍山钢铁公司技师学院	0x518
安庆农业学校	0x462
山东省对外经济学校	0x4a9
四川美术学院	0x1ad
辽宁对外经贸学院	0x37e
太原钢铁(集团)有限公司职工钢铁学院	0xec6
福建水利电力职业技术学院	0x11b
阳江师范学校	0x4b8
吉林警察学院	0xaff
贵州工程职业学院	0x3dd
上海政法学院	0x114f
宁夏重工业职工大学	0x505
上海大学法学院	0xd23
山东省商务技工学校	0x135
河南工业大学	0x804
广州东华职业学院	0x98a
江西水利职业学院	0x204
广西财经学院	0x1ba
天津师范高等专科学校	0x5d1
信阳职业技术学院	0xc4
保定师范专科学校	0x659
山东文化产业职业学院	0xcb4
上海机械高等专科学校	0x935
中钢集团衡阳重机职工大学	0xa3c
重庆房地产职业学院	0x784
山东旅游职业学院	0xa9c
湖北省医药学校	0xa25
绥化学院	0xc8d
湖南吉利汽车职业技术学院	0x942
浙江林业学校	0x1f2
舟山商业学校	0xa87
四川文化艺术学院	0xaf5
贵州省地质学校	0xd44
北京青年政治学院	0x53b
西北师范大学知行学院	0x1128
江西艺术职业学院	0x417
商洛师范专科学校	0x1088
吉林广播电视大学	0xd08
西安航空职业技术学院	0xfa0
滇西科技师范学院	0x1160
泰安教育学院	0xc4e
佳木斯大学	0xd34
中北大学信息商务学院	0x221
淮北广播电视大学	0x5f9
汉江师范学院	0x401
黑龙江商业职业学院	0xa4a
景德镇陶瓷职业技术学院	0x10a5
上海市黄浦区业余大学	0xfd2
湖北开放职业学院	0x479
安庆职业技术学院	0x58c
上饶师范专科学校	0x5b0
黑龙江幼儿师范高等专科学校	0x4f8
吴忠民族职业技术学院	0xb5e
湘潭大学兴湘学院	0xbac
无锡轻工大学	0x7b9
湖南省广播电视大学	0x552
南京大学	0xfa9
淮南市职工大学	0xc1c
内江师范高等专科学校	0x8a
山东化工学校	0xa2b
武汉科技大学高等职业技术学院	0xcab
河北纺织职工大学	0x54f
自贡高等专科学校	0x424
山西旅游职业学院	0x7e3
吉林华桥外国语学院	0xe5
淮南化学工程学校	0x5d7
自贡师范高等专科学校	0x764
甘肃广播电视大学	0x5d5
新疆生产建设兵团兴新职业技术学院	0x1bd
陕西财经职业技术学院	0xd99
福建农业职业技术学院	0x3d4
成都信息工程大学	0xb4c
广西壮族自治区经济管理干部学院	0xca1
抚州幼儿师范高等专科学校	0xe56
陕西财政专科学校	0x105b
陕西广播电视大学	0x93a
信阳学院	0xc2d
浙江育才职工大学	0x1a4
河南农业大学	0xf98
四川省机械工业职工大学	0x365
南昌工程学院	0x52
上海医学高等专科学校	0x800
广西安全工程职业技术学院	0x96
湖南医科大学	0xc2
武汉市广播电视大学	0x11
银光化学材料厂职工大学	0xed2
孝感市建筑工程学校	0x86a
阜阳建筑学校	0x19
首都联合职工大学	0xd5e
哈尔滨应用职业技术学院	0xd60
许昌机电工程学校	0xb2a
江西应用技术职业学院	0x89
内蒙古电子信息职业技术学院	0xbd
铜仁学院	0x54a
长春科技学院	0x1166
西安三资职业学院	0x794
防灾技术高等专科学校	0x4e5
江南影视艺术职业学院	0x721
西南工学院	0xd46
佳木斯职业学院	0x9c0
无锡市机械工业联合职工大学	0x1014
江苏财会职业学院	0x112f
武汉体育学院	0x503
青海职业技术学院	0x5a5
上海财经大学浙江学院	0x302
重庆化工职业学院	0x8c8
黑龙江农垦管理干部学院	0xe7e
宁波机械工业学校	0x99d
浙江嘉兴教育学院	0x729
山西职工医学院	0x9ef
云南工贸职业技术学院	0x488
武汉科技大学城市学院	0x682
上海市经济管理干部学院	0x934
广东工业大学	0xe92
华北理工大学	0x9e5
上海金融专科学校	0xfc2
山东协和学院	0xd72
福州业余大学	0xa93
中山大学南方学院	0x16f
湖南纺织职工大学	0x6ad
重庆冶金成人学院	0xa6e
广州中医药大学	0xb30
成都师范学院	0x8bf
山西信息职业技术学院	0x47c
大连医科大学	0xa90
沈阳职业技术学院	0xc35
上海中侨职业技术学院	0x47d
公安海警学院	0x878
广州卫生职业技术学院	0x23a
宁德师范高等专科学校	0xa33
哈尔滨城市职业学院	0x19d
涪陵师范高等专科学校	0x967
盐城轻工业学校	0xd05
河北律师学院	0xc12
陕西服装工程学院	0x102
泸州师范学校	0xd0d
珠海城市职业技术学院	0xcc9
苏州市虎丘中等专业学校	0x2a8
安徽三联职业技术学院	0x1b8
大连商务职业学院	0x3aa
北京北大方正软件职业技术学院	0x226
新疆医科大学厚博学院	0xa71
杭州大学义乌分校	0xf0f
沂水师范	0xabe
武汉冶金管理干部学院	0x27b
河北工业大学城市学院	0x218
湖南石油化工职业技术学院	0x9cf
